id,created_at,updated_at,deleted_at,title,selected_type,file
769,2019-07-03 23:10:48.667684+03,2019-07-03 23:10:48.667684+03,,,,"{""FileName"":""Axis Handles Assembly.gif"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/769/file.gif"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
770,2019-07-04 00:28:16.54069+03,2019-07-04 00:28:16.54069+03,,,,"{""FileName"":""cinko1.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/770/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
771,2019-07-04 19:10:54.343733+03,2019-07-04 19:10:54.343733+03,,,,"{""FileName"":""Sure Grip Handles.gif"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/771/file.gif"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
772,2019-07-04 19:15:11.030003+03,2019-07-04 19:15:11.030003+03,,,,"{""FileName"":""Sure Grip Handles.gif"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/772/file.gif"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
773,2019-07-04 19:36:50.324233+03,2019-07-04 19:36:50.324233+03,,,,"{""FileName"":""Cab Junction Box Assembly.gif"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/773/file.gif"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
774,2019-07-04 19:51:45.687522+03,2019-07-04 19:51:45.687522+03,,,,"{""FileName"":""junction box.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/774/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
775,2019-07-04 19:59:50.267254+03,2019-07-04 19:59:50.267254+03,,,,"{""FileName"":""side junction box.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/775/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
776,2019-07-04 20:01:52.757107+03,2019-07-04 20:01:52.757107+03,,,,"{""FileName"":""junction box.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/776/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
777,2019-07-04 20:03:39.88282+03,2019-07-04 20:03:39.88282+03,,,,"{""FileName"":""side junction box.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/777/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
778,2019-07-04 21:12:37.026295+03,2019-07-04 21:12:37.026295+03,,,,"{""FileName"":""screens.jpg"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/778/file.jpg"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
779,2019-07-04 21:12:49.483899+03,2019-07-04 21:12:49.483899+03,,,,"{""FileName"":""Main Screen.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/779/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
780,2019-07-04 22:47:01.854513+03,2019-07-04 22:47:01.854513+03,,,,"{""FileName"":""Rotate Directional Assembly.gif"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/780/file.gif"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
781,2019-07-04 22:50:29.970053+03,2019-07-04 22:50:29.970053+03,,,,"{""FileName"":""Rotate Directional Assembly1.png.jpg"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/781/file.jpg"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
